query,id,timestamp_utc,local_time,user_screen_name,text,possibly_sensitive,retweet_count,like_count,reply_count,lang,to_username,to_userid,to_tweetid,source_name,source_url,user_location,lat,lng,user_id,user_name,user_verified,user_description,user_url,user_image,user_tweets,user_followers,user_friends,user_likes,user_lists,user_created_at,user_timestamp_utc,collected_via,match_query,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,collection_time,url,place_country_code,place_name,place_type,place_coordinates,links,domains,media_urls,media_files,media_types,mentioned_names,mentioned_ids,hashtags,intervention_type,intervention_text,intervention_url
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1086228248080670720,1547811970,2019-01-18T11:46:10,MickBarryTD,Woman ‘refused’ abortion will travel to United Kingdom https://www.irishtimes.com/news/social-affairs/woman-refused-abortion-will-travel-to-united-kingdom-1.3762063. “This is not what the people of Ireland voted for. This is not what I voted for” #RepealedThe8th,0,16,25,2,en,,,,Twitter for iPhone,http://twitter.com/download/iphone,,,,2575040162,Mick Barry TD,1,"Workers of all countries unite, you have nothing to lose but your chains. Socialist Party & Solidarity TD for Cork North Central. Retweets not an endorsement.",,https://pbs.twimg.com/profile_images/1445421476459462668/dkZHRkeD_normal.jpg,4631,11234,4398,215,112,2014-06-18T15:27:15,1403105235,scraping,1,,,,,,,,,2022-03-28T13:55:41.695441,https://twitter.com/MickBarryTD/statuses/1086228248080670720,,,,,https://www.irishtimes.com/news/social-affairs/woman-refused-abortion-will-travel-to-united-kingdom-1.3762063,irishtimes.com,,,,,,repealedthe8th,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1086185011026554881,1547801661,2019-01-18T08:54:21,jadeswilson,"Woman refused abortion will travel to United Kingdom. 

Not even a month into abortion ‘access’ in Ireland and this has happened. 

This is not what we voted for.  https://www.irishtimes.com/news/social-affairs/woman-refused-abortion-will-travel-to-united-kingdom-1.3762063",0,24,76,0,en,,,,Twitter for iPhone,http://twitter.com/download/iphone,Ireland,,,111287761,Jade Wilson,1,Reporter @IrishTimes | Got a story? jadewilson@irishtimes.com Threema ID: 62ZH83MU | Previously: @Business @NewstalkFM @GCNMag,https://www.irishtimes.com/profile/jade-wilson-7.5488442,https://pbs.twimg.com/profile_images/1466147448183836672/HmPnZO9v_normal.jpg,10698,10528,3068,65280,15,2010-02-04T12:00:35,1265284835,scraping,1,,,,,,,,,2022-03-28T13:55:41.696616,https://twitter.com/jadeswilson/statuses/1086185011026554881,,,,,https://www.irishtimes.com/news/social-affairs/woman-refused-abortion-will-travel-to-united-kingdom-1.3762063,irishtimes.com,,,,,,,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1086170244241149952,1547798140,2019-01-18T07:55:40,PadraigSagart,"Abortion practitioners used partial - birth abortions to harvest parts of the babies' bodies to sell them for profit to research companies What an abomination! Does Ireland's new abortion ""law"" permit this trade in aborted babies' body parts? « CtrMedProgress: BREAKING: Federal 5th Circuit Appeals Court debunks @PPact smears, vindicates CMP's undercover videos, finds @PPFA uses criminal partial-birth abortions to harvest marketable baby parts, rules TX may strip taxpayer subsidies from @PPGulfCoast

#PPSellsBabyParts #ReleaseTheVideos https://twitter.com/CtrMedProgress/status/1086114052701646848/photo/1 — https://twitter.com/CtrMedProgress/status/1086114052701646848 »",0,12,10,0,en,,,,Twitter for Android,http://twitter.com/download/android,Áth Cliath Dublin ,,,271122311,Pádraig Ó Cochláin,0,"Peacach, Gael, Sagart, Traveller on life's pilgrimage seeking the kingdom of God aiming to do some good for people on the road",,https://pbs.twimg.com/profile_images/1285972399/Padraig_PIC_FD_normal.jpg,48580,1553,500,131,27,2011-03-23T22:18:34,1300918714,scraping,1,,,,,1086114052701646848,CtrMedProgress,3231038202,1547784743,2022-03-28T13:55:41.698649,https://twitter.com/PadraigSagart/statuses/1086170244241149952,,,,,https://twitter.com/CtrMedProgress/status/1086114052701646848,twitter.com,https://pbs.twimg.com/media/DxKmZ8dX4AAxErD.jpg,1086114052701646848_DxKmZ8dX4AAxErD.jpg,photo,ppact|ppfa|ppgulfcoast,22162854|402957663|381159708,ppsellsbabyparts|releasethevideos,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1085912936831508480,1547736794,2019-01-17T14:53:14,roisiningle,"Even though we have legal abortion in Ireland a woman who needs one can still be denied healthcare & be told to wait for a ""spontaneous miscarriage"". The board of The Coombe hospital  should be ashamed ... @RuthCoppingerTD  https://www.irishtimes.com/news/health/woman-denied-abortion-in-test-case-on-new-law-tds-claim-1.3761420#.XECTLn0TqU0.twitter @IrishTimes #repealedThe8th",0,18,52,1,en,,,,Twitter Web Client,http://twitter.com,Dublin,,,20971849,Róisín Ingle,1,"Writer, Podcaster, Columnist, Ukulele/Taylor enthusiast @itwomenspodcast @irishtimes https://t.co/yCE97VzPYd",http://irishtimes.com,https://pbs.twimg.com/profile_images/1500078876441120768/j-sNxozr_normal.jpg,73601,77378,13084,92898,408,2009-02-16T08:56:11,1234774571,scraping,1,,,,,,,,,2022-03-28T13:55:41.700945,https://twitter.com/roisiningle/statuses/1085912936831508480,,,,,https://www.irishtimes.com/news/health/woman-denied-abortion-in-test-case-on-new-law-tds-claim-1.3761420#.XECTLn0TqU0.twitter,irishtimes.com,,,,irishtimes|ruthcoppingertd,15084853|1245846887963529218,repealedthe8th,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1085841216804143104,1547719694,2019-01-17T10:08:14,eefhamill,"Dear @Telegraph,

Abortion is not ‘broadly legal’ in Northern Ireland (which is part of the UK). In NI people are prosecuted for use of abortion pills and 3 travel every day to England for safe abortions. 

Can you please correct your article? @All4Choice

https://www.telegraph.co.uk/women/politics/isle-man-becomes-first-place-british-isles-decriminalise-abortion/ https://twitter.com/eefhamill/status/1085841216804143104/photo/1",0,11,44,1,en,,,,Twitter for iPhone,http://twitter.com/download/iphone,"Dublin, Ireland",,,727251569671081985,eef,0,"Comms person • Currently stuff about Europeans • previously @MayorOfLondon, #HomeToVote, @WinWomenUK, @IsaIreland & @Trulioo • Tweets mine • She/her",,https://pbs.twimg.com/profile_images/1407406690933346315/V7SvGHaR_normal.jpg,8351,764,1045,11414,15,2016-05-02T21:41:00,1462225260,scraping,1,,,,,,,,,2022-03-28T13:55:41.702023,https://twitter.com/eefhamill/statuses/1085841216804143104,,,,,https://www.telegraph.co.uk/women/politics/isle-man-becomes-first-place-british-isles-decriminalise-abortion/,telegraph.co.uk,https://pbs.twimg.com/media/DxGu0j4XcAUp5OL.jpg,1085841216804143104_DxGu0j4XcAUp5OL.jpg,photo,all4choice|telegraph,3364484080|16343974,,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1085545104612442112,1547649096,2019-01-16T14:31:36,BPAS1968,"Huge respect to the #IsleofMan, where the abortion law is now more progressive than anywhere in the UK.

We're delighted, but we mustn't forget the women just across the water in Northern Ireland, where abortion remains stuck in the 19th century. #nowforNI
https://www.telegraph.co.uk/women/politics/isle-man-becomes-first-place-british-isles-decriminalise-abortion/",0,68,121,2,en,,,,Twitter Web Client,http://twitter.com,,,,245742024,BPAS,0,"We are a charity that provides reproductive healthcare to over 100,000 women every year, and we campaign to remove barriers to reproductive choice.",https://friendsofbpas.org/sign-up/,https://pbs.twimg.com/profile_images/1388087411897290755/_MrjWjFV_normal.jpg,24667,17251,1516,8665,149,2011-02-01T11:10:36,1296558636,scraping,1,,,,,,,,,2022-03-28T13:55:41.703633,https://twitter.com/BPAS1968/statuses/1085545104612442112,,,,,https://www.telegraph.co.uk/women/politics/isle-man-becomes-first-place-british-isles-decriminalise-abortion/,telegraph.co.uk,,,,,,isleofman|nowforni,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1085501226257711105,1547638634,2019-01-16T11:37:14,fionapettit71,"Parrot says the death penalty should be given to Doctors who perform abortions and Women should be prosecuted for having an abortion.

This is the Far Right in Ireland and we must NEVER allow them to gain control.

#NoFarRight https://twitter.com/fionapettit71/status/1085501226257711105/photo/1",0,20,52,8,en,,,,Twitter for Android,http://twitter.com/download/android,"Cork, Ireland",,,238385284,Fiona Pettit O'Leary,0,"I am an Activist, founder of ART.

#NoHate 
#ENDQUACKERY 
Singer👉 https://t.co/yKxueTnoke

https://t.co/IEGADXGFbU",http://autisticrightstogether.ie/,https://pbs.twimg.com/profile_images/1508130084938563593/TQurjhCN_normal.jpg,62235,5881,6401,26889,56,2011-01-15T01:53:33,1295056413,scraping,1,,,,,,,,,2022-03-28T13:55:41.704721,https://twitter.com/fionapettit71/statuses/1085501226257711105,,,,,,,https://pbs.twimg.com/media/DxB5mtvX0AEsKcF.jpg,1085501226257711105_DxB5mtvX0AEsKcF.jpg,photo,,,nofarright,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1085170992253677570,1547559900,2019-01-15T13:45:00,RewireNewsGroup,"Abortion in #Ireland is now free, safe, and legal up to 12 weeks into pregnancy.

https://rewirenews.link/2Ll8OxK",0,14,27,1,en,,,,Buffer,https://buffer.com,,,,14764240,Rewire News Group,1,"Home of @AngryBlackLady Chronicles, @Hegemommy, #BoomLawyered and The Fallout 📧 https://t.co/FG2Insi2fd",http://rewirenewsgroup.com,https://pbs.twimg.com/profile_images/1443242471471947781/XYrwIq24_normal.jpg,97894,83815,3211,28374,2294,2008-05-13T20:35:15,1210710915,scraping,1,,,,,,,,,2022-03-28T13:55:41.706226,https://twitter.com/RewireNewsGroup/statuses/1085170992253677570,,,,,https://rewirenews.link/2Ll8OxK,rewirenews.link,,,,,,ireland,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1085103019241414656,1547543694,2019-01-15T09:14:54,maraclarke,"Live in Ireland or the UK and fancy writing a letter to support the rights Northern Irish residents to access abortions? Here's your blog. #FreeSafeLegalLocal #NowforNI « All4Choice: Latest blog form our friends @freesafelegal on the barriers to accessing care for women and pregnant people from NI, and actions you can take. 
#freesafelegal #abortionrightsNI https://www.abortionrightscampaign.ie/2019/01/13/lets-talk-about-accessible-abortion-for-people-living-in-northern-ireland https://twitter.com/All4Choice/status/1084779169786011648/photo/1 — https://twitter.com/All4Choice/status/1084779169786011648 »",0,12,12,2,en,,,,Twitter Web Client,http://twitter.com,"England, United Kingdom",,,25466744,Mara Clarke,0,Founder of @AbortionSupport. Member of #AbortionWithoutBorders/ #AborcjaBezGranic. Often powered by rage. Happy to help. https://t.co/bzCkZctRXC,http://www.asn.org.uk,https://pbs.twimg.com/profile_images/1016794582963703808/uqrl_q_-_normal.jpg,15013,4958,3025,24179,87,2009-03-20T05:30:19,1237527019,scraping,1,,,,,1084779169786011648,All4Choice,3364484080,1547466482,2022-03-28T13:55:41.708021,https://twitter.com/maraclarke/statuses/1085103019241414656,,,,,https://twitter.com/All4Choice/status/1084779169786011648|https://www.abortionrightscampaign.ie/2019/01/13/lets-talk-about-accessible-abortion-for-people-living-in-northern-ireland,twitter.com|abortionrightscampaign.ie,https://pbs.twimg.com/media/Dw3o56vWoAEZMSE.jpg,1084779169786011648_Dw3o56vWoAEZMSE.jpg,photo,freesafelegal,1096875997,abortionrightsni|freesafelegal|freesafelegallocal|nowforni,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1085091275056078848,1547540894,2019-01-15T08:28:14,freesafelegal,"People in the UK are ending wanted pregnancies because of their two child-benefits cap. This extends to Northern Ireland, where the choice is to bear a child they cannot afford, take illegal abortion pills, or travel if they have the means.
https://inews.co.uk/opinion/comment/women-are-ending-wanted-pregnancies-because-of-the-governments-two-child-benefits-policy/?fbclid=IwAR2-uTw4ag6fwarXCFyK3YD3G2pMN0m5qeuzD8GYEksK5bUmFc267ZE6B5A https://twitter.com/freesafelegal/status/1085091275056078848/photo/1",0,34,32,0,en,,,,TweetDeck,https://about.twitter.com/products/tweetdeck,Ireland,,,1096875997,Abortion Rights IE,1,We are an all volunteer group of grassroots activists working on the campaign for #FreeSafeLegalLocal abortion in Ireland #Now4NI,http://www.abortionrightscampaign.ie,https://pbs.twimg.com/profile_images/1415967938927120385/ZLBB5f6R_normal.jpg,45790,26314,4966,18139,221,2013-01-17T01:39:13,1358386753,scraping,1,,,,,,,,,2022-03-28T13:55:41.709311,https://twitter.com/freesafelegal/statuses/1085091275056078848,,,,,https://inews.co.uk/opinion/comment/women-are-ending-wanted-pregnancies-because-of-the-governments-two-child-benefits-policy/,inews.co.uk,https://pbs.twimg.com/media/Dw8Ej0yWsAEvKPI.jpg,1085091275056078848_Dw8Ej0yWsAEvKPI.jpg,photo,,,,,,
